id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
18-Aug-2021_EXS81FC,departure,15.616666666666667,04,05,18,2862.0244246142884,731.1510064000936,0,2642.4744600346025,91.9089601694,974.8760264943767,1795.2394379505117,23R/05L,1,0,11,3,0,0,0,3,2,0,0
22-Aug-2021_EXS81FC,departure,29.083333333333332,04,05,22,2672.3929371232416,893.0864884168327,0,2009.4218462485733,91.9089601694,0,2580.4839769538416,23R/05L,1,0,11,9,2,0,0,4,1,0,0
29-Aug-2021_EXS81FC,departure,7.1,06,06,29,3070.0014810134817,547.1932474956698,0,2998.6117253226566,0,1014.0460966443912,2055.9553843690906,23R/05L,1,0,5,0,0,0,0,0,2,0,0
01-Sep-2021_EXS81FC,departure,12.55,05,05,01,2936.042361341518,586.1862635555775,0,2850.976111613357,113.648321037,1014.0460966443912,1808.3479436601265,23R/05L,1,0,3,5,0,0,0,2,0,0,0
01-Aug-2021_EXS5XC,departure,13.95,06,06,01,3359.0055144293215,632.3715330625924,0,3149.3588323571303,67.0385622797,1826.6017585018524,1465.3651936477693,23R/05L,1,0,5,2,1,0,0,2,1,0,0
02-Aug-2021_EXS5XC,departure,16.266666666666666,06,06,02,3570.69543758238,624.691038177022,0,3448.3993252825553,67.8586664272,2047.6021179213026,1455.234653233877,23R/05L,1,0,4,1,1,0,0,0,2,0,0
03-Aug-2021_EXS5XC,departure,10.783333333333333,06,06,03,3166.2908876862152,920.0687613412533,0,2785.12010283733,106.423920412,768.3105464631772,2291.556420811038,23R/05L,1,0,7,2,0,0,0,2,3,0,0
05-Aug-2021_EXS5XC,departure,13.0,06,06,05,3127.534755102824,696.3170392308612,0,2475.853153271902,127.735225864,974.8760264943767,2024.9235027444474,23R/05L,1,0,7,2,2,0,0,1,3,0,0
06-Aug-2021_EXS5XC,departure,16.6,06,06,06,2929.5787575323884,725.9987213659053,0,2718.3314136971658,102.035701168,974.8760264943767,1852.667029870012,23R/05L,1,0,10,2,2,0,0,3,1,0,0
07-Aug-2021_EXS5XC,departure,17.55,06,06,07,3633.578212560168,879.7889368130673,0,2810.5305413087663,96.615863148,1515.2527267685746,2021.7096226435938,23R/05L,1,0,6,3,1,0,0,2,2,0,0
08-Aug-2021_EXS5XC,departure,16.883333333333333,06,06,08,3545.1710055242506,662.4479433887082,0,3348.6441140217644,68.8858870922,2008.432047771288,1467.8530706607628,23R/05L,1,0,6,2,0,0,0,3,1,0,0
09-Aug-2021_EXS5XC,departure,14.45,06,06,09,3543.3565267918507,657.4792920941175,0,3303.3052905922646,67.0714083598,2008.432047771288,1467.8530706607628,23R/05L,1,0,7,4,1,0,0,2,2,0,0
10-Aug-2021_EXS5XC,departure,14.416666666666666,06,06,10,3139.7712507736214,622.6404694155248,0,2929.12046152203,68.0426694591,1826.6017585018524,1245.126822812669,23R/05L,1,0,4,2,1,0,0,2,0,0,0
12-Aug-2021_EXS5XC,departure,13.316666666666666,06,06,12,2738.063856459752,581.6603319217052,0,2588.9821771852658,0,974.8760264943767,1763.1878299653754,23R/05L,1,0,8,5,0,0,0,6,0,0,0
13-Aug-2021_EXS5XC,departure,18.85,06,06,13,3447.6904219916505,623.3182702353253,0,3159.5211277386315,106.064213968,1743.1865729575538,1598.4396350660968,23R/05L,1,0,12,3,1,0,0,3,4,0,0
14-Aug-2021_EXS5XC,departure,17.133333333333333,06,06,14,3445.7311537206997,802.746270042423,0,3159.5211277386315,106.064213968,1659.9243393774575,1679.7426003752423,23R/05L,1,0,4,2,1,0,0,2,0,0,0
15-Aug-2021_EXS5XC,departure,14.95,06,06,15,3412.9339165252504,658.0928412409262,0,3217.2502426558644,68.0426694591,2008.432047771288,1336.4591992948624,23R/05L,1,0,8,3,1,0,0,4,1,0,0
16-Aug-2021_EXS5XC,departure,12.8,06,06,16,3315.688399515471,805.4223934820503,0,3103.73900779123,71.3005402027,1743.339524921756,1501.0483343910146,23R/05L,1,0,7,3,2,0,0,3,1,0,0
17-Aug-2021_EXS5XC,departure,14.683333333333334,06,06,17,3590.8103335380506,661.4467655003541,0,3391.8687889250646,71.3005402027,2008.432047771288,1511.0777455640625,23R/05L,1,0,6,1,0,0,0,2,1,0,0
18-Aug-2021_EXS5XC,departure,12.283333333333333,06,06,18,3543.2117372533,841.8759431958058,0,3348.6441140217644,68.8858870922,1925.1698141911916,1549.1560359699083,23R/05L,1,0,6,3,0,0,0,3,3,0,0
19-Aug-2021_EXS5XC,departure,12.366666666666667,06,06,19,3545.1710055242506,662.4479433887082,0,3348.6441140217644,68.8858870922,2008.432047771288,1467.8530706607628,23R/05L,1,0,8,2,0,0,0,3,1,0,0
20-Aug-2021_EXS5XC,departure,14.7,06,06,20,3174.5277562400215,587.8658984099238,0,2871.391346604797,106.064213968,1561.3562836881183,1507.1072585839033,23R/05L,1,0,3,1,2,0,0,1,2,0,0
21-Aug-2021_EXS5XC,departure,15.833333333333334,06,06,21,3375.4601862370864,684.7728529313976,0,2522.4007601749317,96.615863148,1561.3562836881183,1717.4880394009683,23R/05L,1,0,7,2,1,0,0,4,2,0,0
22-Aug-2021_EXS5XC,departure,15.083333333333334,06,06,22,3264.9878859140276,1000.4985248648318,0,2929.12046152203,68.0426694591,1033.5560212769112,2163.389195178016,23R/05L,1,0,6,2,1,0,0,2,1,0,0
23-Aug-2021_EXS5XC,departure,12.533333333333333,06,06,23,2934.877949872718,693.9110707641472,0,2726.2896695532936,121.806504544,1014.0460966443912,1799.0253486843271,23R/05L,1,0,6,1,2,0,0,1,3,0,0
24-Aug-2021_EXS5XC,departure,15.2,06,06,24,3747.0458056571797,633.0181224381818,0,3625.569797504855,67.0385622797,2047.6021179213026,1632.4051254561773,23R/05L,1,0,4,3,0,0,0,3,0,0,0
25-Aug-2021_EXS5XC,departure,16.766666666666666,06,06,25,3705.6879590142794,626.6409830505421,0,3579.9499729389554,71.3005402027,2047.6021179213026,1586.7853008902766,23R/05L,1,0,5,1,0,0,0,1,1,0,0
26-Aug-2021_EXS5XC,departure,13.383333333333333,06,06,26,2976.902050090518,696.3452239502815,0,2830.5556440484934,91.9089601694,1014.0460966443912,1870.946993276727,23R/05L,1,0,10,5,0,0,0,5,1,0,0
27-Aug-2021_EXS5XC,departure,13.4,06,06,27,3658.23415226808,622.6735096443055,0,3491.386474606155,67.0714083598,2047.6021179213026,1543.5606259869774,23R/05L,1,0,3,0,1,0,0,0,2,0,0
28-Aug-2021_EXS5XC,departure,0.5166666666666667,06,06,28,471.6642287519353,78.51044209604412,0,93.24873519828544,0,0,471.6642287519353,23R/05L,1,0,0,0,0,0,0,0,0,0,0
30-Aug-2021_EXS5XC,departure,12.866666666666667,06,06,30,3570.69543758238,624.691038177022,0,3448.3993252825553,67.8586664272,2047.6021179213026,1455.234653233877,23R/05L,1,0,3,1,1,0,0,1,2,0,0
31-Aug-2021_EXS5XC,departure,16.1,06,06,31,3755.2694094033795,538.2053260721444,0,3536.725298035655,68.8858870922,2151.5088752383026,1534.874647072877,23R/05L,1,0,6,4,0,0,0,3,2,0,0
01-Sep-2021_EXS5XC,departure,11.266666666666667,06,06,01,3527.8115420014797,623.2870587911142,0,3405.3314266697553,68.0426694591,2047.6021179213026,1412.166754621077,23R/05L,1,0,1,1,0,0,0,1,0,0,0
01-Aug-2021_RYR2KQ,arrival,4.483333333333333,06,06,01,1379.658163932721,431.5159338262845,0,928.7977470268495,88.9090138822,0,1290.749150050521,23R/05L,1,0,3,0,0,1,0,0,0,2,1
02-Aug-2021_RYR2KQ,arrival,4.416666666666667,17,17,02,1802.6021925927037,299.70770774481196,0,1457.9123371002545,71.8532588843,843.5639174223427,887.185016286061,23R/05L,1,0,5,0,0,2,0,0,0,3,1
04-Aug-2021_RYR2KQ,arrival,4.333333333333333,17,17,04,1497.9975790794979,308.40878081594514,0,1068.6878774112427,71.1519727783,806.5635632358426,620.2820430653553,23R/05L,1,0,3,0,0,1,1,0,0,2,1
06-Aug-2021_RYR2KQ,arrival,4.866666666666666,07,07,06,1895.9355623612107,427.12506793816476,0,1531.4144499646616,91.6845157884,0,1804.2510465728108,23R/05L,1,0,4,0,0,0,1,0,0,1,2
08-Aug-2021_RYR2KQ,arrival,3.283333333333333,06,06,08,1378.7049507732052,418.05025342257045,0,928.7977470268495,88.9090138822,0,1289.795936891005,23R/05L,1,0,2,0,0,0,0,0,0,0,1
09-Aug-2021_RYR2KQ,arrival,3.75,16,16,09,1378.7049507732052,418.05025342257045,0,928.7977470268495,88.9090138822,0,1289.795936891005,23R/05L,1,0,4,0,0,1,0,0,0,2,1
11-Aug-2021_RYR2KQ,arrival,2.7666666666666666,17,17,11,1184.4770938455913,368.12500388615774,0,995.2012782431325,0,0,1184.4770938455913,23R/05L,1,0,0,0,0,0,0,0,0,0,0
13-Aug-2021_RYR2KQ,arrival,4.016666666666667,07,07,13,1661.9932404635263,245.93240505088016,0,1457.9123371002545,71.8532588843,843.5639174223427,746.5760641568836,23R/05L,1,0,5,0,0,1,1,0,0,1,4
15-Aug-2021_RYR2KQ,arrival,3.9833333333333334,06,06,15,1267.5689216483913,458.66938500239615,0,1048.6439362255326,83.0918278028,0,1184.4770938455913,23R/05L,1,0,6,0,0,2,0,0,0,4,1
16-Aug-2021_RYR2KQ,arrival,3.716666666666667,16,16,16,1447.395382071298,298.9574141626649,0,1068.6878774112427,71.1519727783,806.5635632358426,569.6798460571554,23R/05L,1,0,2,0,0,1,0,0,0,1,1
18-Aug-2021_RYR2KQ,arrival,3.933333333333333,16,16,18,1386.139215711584,339.16407305263226,0,1185.6936056357254,64.6124524558,806.5635632358426,514.9632000199415,23R/05L,1,0,4,0,0,1,0,0,0,2,1
