d,taxi_time,gate_block_hour,runway_hour,rwy_day,distance,angle,shortest_path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
1,13.53333333,8,9,1,2336.924153,455.8154045,2134.559009,91.68451579,1014.046097,1231.193541,1,0,4,1,3,0,0,1,1,0,0
1,13.23333333,4,4,3,1502.270549,357.6343265,1306.984454,71.02745408,891.6137929,539.6293017,1,0,18,8,2,0,0,9,3,0,0
0,17.58333333,19,19,25,413.3533606,177.8298208,404.3381174,107.2250578,0.0,306.1283028,-1,0,2,0,0,0,4,0,0,0,1
1,8.183333333,13,14,10,1599.719663,699.3265584,1248.262722,71.85325888,746.9421803,780.9242235,1,0,3,1,0,0,0,1,0,0,0
0,5.65,17,17,29,973.4951835,318.1942646,707.7424409,83.0918278,0.0,890.4033557,1,0,7,0,0,2,0,0,0,3,3
0,8.933333333,16,16,15,3179.245735,558.5012788,2744.457753,106.064214,796.0465784,2277.134942,1,0,4,0,0,2,1,0,0,2,2
0,3.366666667,10,10,17,1131.809406,449.0731133,821.5052773,139.4792256,0.0,992.3301804,1,0,4,0,0,0,1,0,0,1,2
0,4.166666667,12,12,5,1342.076539,338.8448032,1135.091409,71.15197278,806.5635632,464.361003,1,0,6,0,0,0,1,0,0,3,1
0,6.35,21,21,5,2027.774652,698.4368842,1798.609439,91.90896017,0.0,1935.865692,1,0,3,0,0,0,0,0,0,1,0
1,9.966666667,10,10,26,549.7391485,187.6555368,408.5167284,106.4239204,0.0,443.3152281,-1,0,8,2,2,0,0,3,3,0,0
1,9.083333333,9,9,22,916.3336896,522.4716588,673.9318402,71.02745408,0.0,845.3062356,1,0,8,2,1,0,0,2,4,0,0
1,13.18333333,16,16,26,2185.924505,329.7189167,2061.056896,71.85325888,1626.487207,487.5840399,1,0,7,2,2,0,0,2,2,0,0
0,1.7,13,13,23,664.2928832,229.8589627,409.9585089,75.85001897,0.0,588.4428643,1,0,5,0,0,0,0,0,0,2,3
0,4.45,18,18,4,1896.979611,666.5047674,1631.988132,127.7352259,0.0,1769.244385,1,0,4,0,0,1,1,0,0,3,1
0,3.766666667,17,16,10,1934.035635,581.3523186,1474.747202,87.1816781,575.4407558,1271.413201,1,0,0,0,0,0,0,0,0,0,0
0,8.25,13,13,17,2919.691922,647.6237135,1900.261989,96.61586315,796.0465784,2027.029481,1,0,10,0,0,1,5,0,0,3,4
0,8.433333333,10,10,15,1907.757106,313.3810855,1516.634069,71.02745408,843.5639174,993.1657341,1,0,4,0,0,1,0,0,0,2,1
0,4.4,21,20,8,1989.468161,694.7280625,1747.419814,104.792094,0.0,1884.676067,1,0,3,0,0,0,0,0,0,0,2
0,16.81666667,13,13,28,2663.767931,627.384434,2459.440269,67.07140836,1019.76446,1576.932063,1,0,8,0,0,3,4,0,0,3,0
0,18.46666667,21,21,12,2022.626678,549.2541498,1718.551899,99.47767897,0.0,1923.148999,1,0,2,0,0,0,7,0,0,0,2
0,4.733333333,19,19,13,1745.674102,691.6777705,1102.612804,91.68451579,0.0,1653.989586,1,0,3,0,0,0,0,0,0,0,2
1,11.16666667,8,8,21,1502.202209,348.6286722,1306.283167,84.74577311,746.9421803,670.514256,1,0,1,0,0,0,0,0,1,0,0
0,2.916666667,0,0,23,1406.633924,169.8839124,1231.951102,75.85001897,543.3363432,787.447562,1,0,3,0,0,0,0,0,0,1,2
1,13.83333333,15,15,7,1549.654054,360.7368423,1354.24344,71.15197278,891.6137929,586.8882881,1,0,10,4,2,0,0,5,0,0,0
1,8.583333333,8,8,18,1661.660612,315.96759,1387.204356,86.29883817,891.6137929,683.7479812,1,0,8,2,2,0,0,2,5,0,0
0,6.283333333,21,21,19,2060.222668,656.8648814,1627.939933,90.95977789,0.0,1969.26289,1,0,3,0,0,0,1,0,0,0,3
1,12.36666667,6,6,24,2360.484886,458.0461476,2192.225287,83.43222771,1014.046097,1263.006562,1,0,2,0,0,0,0,1,0,0,0
1,8.066666667,15,15,1,2360.484886,458.0461476,2192.225287,83.43222771,1014.046097,1263.006562,1,0,7,2,1,0,0,4,1,0,0
1,12.8,5,5,20,2820.000324,728.7168532,2538.208486,121.8065045,974.8760265,1723.317793,1,0,8,5,0,0,0,5,1,0,0
0,4.5,11,11,4,1535.016638,304.0361131,1165.547571,61.91353602,806.5635632,666.5395392,1,0,7,0,0,0,0,0,0,2,3
0,3.166666667,11,11,28,1403.202236,441.6688623,1247.010346,104.57135,608.7054609,689.9254256,-1,0,3,0,0,1,0,0,0,2,1
1,15.2,3,3,12,3307.314809,624.7978594,3073.249884,106.4239204,1743.186573,1457.704315,1,0,4,0,0,0,0,0,0,0,0
1,9.233333333,17,18,16,1431.289251,501.8253306,1248.262722,71.85325888,746.9421803,612.4938117,1,0,2,0,0,0,0,0,1,0,0
0,5.283333333,9,9,15,1533.980113,344.8961773,1021.574182,103.7889317,886.4465448,543.7446364,1,0,3,0,0,1,0,0,0,2,1
0,5.166666667,14,14,15,2346.468627,390.6604401,1616.762925,104.792094,0.0,2241.676533,-1,0,4,0,0,0,0,0,0,2,1
1,13.3,4,4,5,2871.164653,728.6985006,2642.47446,101.0491881,974.8760265,1795.239438,1,0,7,4,0,0,0,4,1,0,0
0,5.866666667,13,13,8,2075.581412,537.2633656,1808.062861,102.0357012,0.0,1973.545711,1,0,8,0,0,0,0,0,0,3,2
0,6.483333333,5,5,3,1891.559555,577.9641854,1766.557831,126.2014747,0.0,1765.35808,1,0,13,0,0,3,1,0,0,9,2
0,4.55,23,23,30,1389.65291,360.9715766,1115.834452,83.0918278,608.7054609,697.855621,1,0,4,0,0,0,0,0,0,0,4
1,17.11666667,10,11,8,1452.782633,390.7981514,1240.790352,86.29883817,746.9421803,619.5416146,-1,0,9,3,4,0,0,3,3,0,0
1,12.86666667,6,6,30,3570.695438,624.6910382,3448.399325,67.85866643,2047.602118,1455.234653,1,0,3,1,1,0,0,1,2,0,0
0,7.25,0,0,7,2621.568039,626.7826984,2416.45312,67.85866643,1019.76446,1533.944913,1,0,2,0,0,0,0,0,0,0,1
0,4.7,17,17,30,1479.472608,363.5287617,1227.469597,83.43222771,608.7054609,787.3349199,1,0,4,0,0,0,0,0,0,2,1
0,6.1,11,11,26,2165.143235,704.0208615,1905.155872,121.8065045,608.7054609,1434.631269,1,0,3,0,0,1,0,0,0,2,1
1,9.95,5,5,3,781.5544428,356.3587141,503.17958,78.46540828,0.0,703.0890346,1,0,11,4,3,0,0,8,2,0,0
1,12.78333333,17,17,18,1593.71673,361.0561121,1404.845637,64.61245246,891.6137929,637.4904851,1,0,3,0,3,0,0,0,1,0,0
0,5.45,13,13,29,2108.716624,689.1442892,1842.800539,127.7352259,608.7054609,1372.275937,1,0,5,0,0,0,0,0,0,1,2
0,4.066666667,11,11,28,1398.256931,362.6188899,1169.803319,91.68451579,608.7054609,697.866954,1,0,5,0,0,1,1,0,0,2,1
1,12.4,3,4,27,2919.560096,608.1110556,2282.062078,107.5419067,0.0,2812.018189,1,0,10,4,0,0,0,5,1,0,0
1,14.15,4,4,31,2945.428415,721.3056051,2758.633999,111.6249493,1014.046097,1819.757369,1,0,13,5,0,0,0,6,2,0,0
0,8.233333333,9,9,3,2610.028176,651.265687,2162.981331,106.4239204,645.7421366,1857.862119,1,0,6,0,0,1,0,0,0,1,4
